File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_CBB_2005_AV0038.txt with similarity score of 0.674138121593457.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_CBB_2005_AU6015.txt with similarity score of 0.6651748132247192.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_CBB_2005_AS3610.txt with similarity score of 0.6602799941140872.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_CBB_2005_AU7025.txt with similarity score of 0.6557187480995288.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_RVS_2005_AT7988.txt with similarity score of 0.6535649993098699.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_CBB_2005_AT5832.txt with similarity score of 0.6497366273632417.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_CBB_2005_AU8304.txt with similarity score of 0.6272603677442441.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_RVS_2005_AT8009.txt with similarity score of 0.6186147068555539.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_CBB_2005_AU3674.txt with similarity score of 0.6168793714963473.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_RBALM_2005_AT9004.txt with similarity score of 0.6025331011758401.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_CBB_2005_AU3606.txt with similarity score of 0.6023108600997008.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_CBB_2005_AU5321.txt with similarity score of 0.5986485939759475.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_GHSHE_2005_AT9319.txt with similarity score of 0.5984721814210598.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_CBB_2005_AT9218.txt with similarity score of 0.5983747189434675.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_RVS_2005_AU0767.txt with similarity score of 0.5909878783501111.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_RBROE_2005_AU9008.txt with similarity score of 0.5876516017776269.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_GHSHE_2005_AT9303.txt with similarity score of 0.5811348568934661.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_CBB_2005_AU1362.txt with similarity score of 0.5732708584803802.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_RVS_2005_AU7582.txt with similarity score of 0.5729294797548881.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_HR_2005_AT4114.txt with similarity score of 0.569319530748404.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_RBSHE_2005_AT2728.txt with similarity score of 0.5651853173398055.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_CBB_2005_AT1068.txt with similarity score of 0.5644447835019002.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_RVS_2005_AU7171.txt with similarity score of 0.5592374047980859.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_RVS_2005_AU6230.txt with similarity score of 0.5578817051763718.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_RBZUT_2005_AS5678.txt with similarity score of 0.5558210476659812.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_RVS_2005_AU0749.txt with similarity score of 0.5557749128112426.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_RVS_2005_AU6218.txt with similarity score of 0.5430960420232552.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_RVS_2005_AU0088.txt with similarity score of 0.5363682305010465.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_HR_2005_AU6354.txt with similarity score of 0.5304342608612317.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_HR_2005_AU2711.txt with similarity score of 0.5296945692254946.
File 1: ECLI_NL_CBB_2005_AS2031.txt, File 2: ECLI_NL_GHSGR_2005_AT3525.txt with similarity score of 0.5220999422554786.
BERT: match: ECLI_NL_CBB_2005_AS3610.txt  (similarity 0.6602799941140872)
BERT: match: ECLI_NL_RBZUT_2005_AS5678.txt  (similarity 0.5558210476659812)
BERT: match: ECLI_NL_CBB_2005_AT1068.txt  (similarity 0.5644447835019002)
BERT: match: ECLI_NL_GHSGR_2005_AT3525.txt  (similarity 0.5220999422554786)
BERT: match: ECLI_NL_RBSHE_2005_AT2728.txt  (similarity 0.5651853173398055)
BERT: match: ECLI_NL_GHSHE_2005_AT9303.txt  (similarity 0.5811348568934661)
BERT: match: ECLI_NL_GHSHE_2005_AT9319.txt  (similarity 0.5984721814210598)
BERT: match: ECLI_NL_CBB_2005_AT5832.txt  (similarity 0.6497366273632417)
BERT: match: ECLI_NL_HR_2005_AT4114.txt  (similarity 0.569319530748404)
BERT: match: ECLI_NL_RVS_2005_AT7988.txt  (similarity 0.6535649993098699)
BERT: match: ECLI_NL_RVS_2005_AT8009.txt  (similarity 0.6186147068555539)
BERT: match: ECLI_NL_CBB_2005_AT9218.txt  (similarity 0.5983747189434675)
BERT: match: ECLI_NL_RBALM_2005_AT9004.txt  (similarity 0.6025331011758401)
BERT: match: ECLI_NL_RVS_2005_AU0088.txt  (similarity 0.5363682305010465)
BERT: match: ECLI_NL_CBB_2005_AU1362.txt  (similarity 0.5732708584803802)
BERT: match: ECLI_NL_RVS_2005_AU0749.txt  (similarity 0.5557749128112426)
BERT: match: ECLI_NL_RVS_2005_AU0767.txt  (similarity 0.5909878783501111)
BERT: match: ECLI_NL_CBB_2005_AU3606.txt  (similarity 0.6023108600997008)
BERT: match: ECLI_NL_CBB_2005_AU3674.txt  (similarity 0.6168793714963473)
BERT: match: ECLI_NL_CBB_2005_AU5321.txt  (similarity 0.5986485939759475)
BERT: match: ECLI_NL_CBB_2005_AU6015.txt  (similarity 0.6651748132247192)
BERT: match: ECLI_NL_CBB_2005_AU7025.txt  (similarity 0.6557187480995288)
BERT: match: ECLI_NL_HR_2005_AU2711.txt  (similarity 0.5296945692254946)
BERT: match: ECLI_NL_RBROE_2005_AU9008.txt  (similarity 0.5876516017776269)
BERT: match: ECLI_NL_RVS_2005_AU6218.txt  (similarity 0.5430960420232552)
BERT: match: ECLI_NL_RVS_2005_AU6230.txt  (similarity 0.5578817051763718)
BERT: match: ECLI_NL_RVS_2005_AU7171.txt  (similarity 0.5592374047980859)
BERT: match: ECLI_NL_CBB_2005_AU8304.txt  (similarity 0.6272603677442441)
BERT: match: ECLI_NL_CBB_2005_AV0038.txt  (similarity 0.674138121593457)
BERT: match: ECLI_NL_HR_2005_AU6354.txt  (similarity 0.5304342608612317)
BERT: match: ECLI_NL_RVS_2005_AU7582.txt  (similarity 0.5729294797548881)
